no,type,chinese,japanese
1,1,請給我水, （お）水をください。; （お）水ちょうだい。
2,1,請給我這個, これをください。; これちょうだい。
3,1,請給我盤子, お皿をください。; お皿ちょうだい。
4,1,請給我咖啡, コーヒーをください。; コーヒーちょうだい。
5,2,你有車子嗎?（強調所有/擁有）, 車をもっていますか？; 車もってる？
6,2,你有帶雨傘嗎?, 傘を持っていますか？; 傘持ってる？
7,2,你有帶筆嗎?, ペンを持っていますか？; ペン持ってる？
8,2,你有帶衛生紙嗎?, ティッシュを持っていますか？; ティッシュ持ってる？
9,3,你知道這部電影嗎?, この映画を知っていますか？; この映画知ってる？
10,3,你知道這本漫畫嗎?, この漫画を知っていますか？; この漫画知ってる？
11,3,你知道這個品牌嗎?, このブランドを知っていますか？; このブランド知ってる？
12,3,你知道這間店嗎?, このお店を知っていますか？; このお店知ってる？
13,4,旅遊怎麼樣? （問感想）, 旅行はどうでしたか？; 旅行どうだった？
14,4,周末過得怎麼樣?, 週末はどうでしたか？; 週末どうだった？
15,4,電影看得怎麼樣?, 映画はどうでしたか？; 映画どうだった？
16,4,考試考得怎麼樣?, テストはどうでしたか？; テストどうだった？
17,5,請你小心車子喔, 車に気を付けてくださいね。; 車に気を付けてね。
18,5,請你注意身體喔, 体に気を付けてくださいね。; 体に気を付けてね。
19,5,請你注意時間喔, 時間に気を付けてくださいね。; 時間に気を付けてね。
20,5,回家要小心喔, 帰り道に気を付けてくださいね。; 帰り道に気を付けてね。
21,6,你要咖啡還是紅茶?, コーヒーと紅茶どっちがいいですか？; コーヒーと紅茶どっちがいい？
22,6,你要白飯還是麵?, ごはんと麺どっちがいいですか？; ごはんと麺どっちがいい？
23,6,你要黑色還是白色?, 黒と白どっちがいいですか？; 黒と白どっちがいい？
24,6,你要筷子還是湯匙, おはしとスプーンどっちがいいですか？; おはしとスプーンどっちがいい？
25,7,你家真棒呢（讚美別人）, 素敵なお家ですね。; 素敵なお家だね。
26,7,你的鞋子好漂亮喔, 素敵な靴ですね。; 素敵な靴だね。
27,7,你的髮型真好看, 素敵な髪型ですね。; 素敵な髪型だね。
28,7,你的老公真棒呢, 素敵なご主人ですね。; 素敵なご主人だね。
29,8,要不要衛生紙?, ティッシュ(は)要りますか？; ティッシュ要る？
30,8,要不要袋子?, 袋(は)いりますか？; 袋いる？
31,8,要不要發票?, レシート(は)いりますか？; レシートいる？
32,8,要不要糖, 砂糖(は)いりますか？; 砂糖いる？
33,9,這是什麼?, これは何ですか？; これ何？
34,9,早餐吃了什麼?, 朝ごはんは何をたべましたか？; 朝ごはん何食べたの？
35,9,你喜歡什麼?, 何が好きですか？; 何が好き？
36,9,你在做什麼?, 何をしているんですか？; 何してるの？
37,10,我想要新鞋子（名詞）, 新しい靴がほしいです。; 新しい靴ほしいなあ。
38,10,我想要新電腦, 新しいパソコンがほしいです。; 新しいパソコンがほしいなあ。
39,10,我想要男朋友, 彼氏がほしいです。; 彼氏ほしいなあ。
40,10,你想要什麼?, 何が欲しいですか？; 何欲しい？
41,11,我想去日本（動詞）, 日本へ行きたいです。; 日本へ行きたいなあ。
42,11,我想見你, 会いたいです。; 会いたいなあ。
43,11,我想看櫻花, 桜を見たいです。; 桜みたいなあ。
44,11,你想吃什麼?, 何を食べたいですか？; 何食べたい？
45,12,你為什麼遲到?, どうして遅れたんですか？; なんで遅れたの？
46,12,你昨天為什麼沒有來呢?, どうして昨日来なかったんですか？; なんで昨日来なかったの？
47,12,你為什麼在哭呢?, どうして泣いているんですか？; なんで泣いてるの？
48,12,你為什麼在生氣呢?, どうして怒っているんですか？; なんで怒ってるの？
49,13,你是怎麼來的?, どうやって来たんですか？; どうやって来たの？
50,13,這個怎麼用?, これはどうやって使うんですか？; これ、どうやって使うの？
51,13,這個怎麼吃, これはどうやって食べるんですか？; これ、どうやって食べるの？
52,13,我們怎麼去?, どうやって行きますか？; どうやって行く？
53,14,這是誰的?, これは誰のですか？; これ誰の？
54,14,你要跟誰去?, 誰と行くんですか？; 誰と行くの？
55,14,你的包包是誰送你的?, そのかばん、誰にもらったんですか？; そのかばん、誰にもらったの？
56,14,有人在嗎?, 誰かいますか？; 誰かいる？
57,15,廁所在哪裡?, トイレはどこですか？; トイレどこ？
58,15,你要去哪裡?, どこへ行くんですか？; どこ行くの？
59,15,你的衣服在哪裡買的?, その服、どこで買ったんですか？; その服、どこで買ったの？
60,15,你是從哪裡來的?, どこから来たんですか？; どこから来たの？
61,16,你的生日是什麼時候?, 誕生日はいつですか？; 誕生日いつ？
62,16,什麼時候要去日本?, いつ日本へ行くんですか？; いつ日本へ行くの？
63,16,什麼時候要考試, 試験はいつですか？; 試験いつ？
64,16,什麼時候都可以喔, いつでもいいですよ。; いつでもいいよ。
65,17,你喜歡什麼樣的書?, どんな本が好きですか？; どんな本が好き？
66,17,你的男朋友是什麼樣的人?, 彼氏はどんな人ですか？; 彼氏どんな人？
67,17,你想要什麼樣的電腦?, どんなパソコンが欲しいですか？; どんなパソコンが欲しいの？
68,17,神戶是什麼樣的城市?, 神戸ってどんな街ですか？; 神戸ってどんな街？
69,18,請你幫我一下, ちょっと手伝ってください。; ちょっと手伝って。
70,18,請你等我一下, ちょっと待ってください。; ちょっと待って。
71,18,請你過來一下, ちょっと来てください。; ちょっと来て。
72,18,請你看一下, ちょっと見てください。; ちょっと見て。
73,19,要不要送你回家（提議）, 家まで送りましょうか？; 家まで送ろうか？
74,19,要不要幫忙?, 手伝いましょうか？; 手伝おうか？
75,19,要不要借你?, 貸しましょうか？; 貸そうか？
76,19,要不要幫你拿行李, 荷物を持ちましょうか？; 荷物持とうか？
77,20,如果方便的話要不要一起去 （邀約）, もしよかったら一緒に行きませんか？; よかったら一緒に行かない？
78,20,要不要一起玩, もしよかったら一緒に遊びませんか？; もしよかったら一緒に遊ばない？
79,20,要不要一起喝, もしよかったら一緒に飲みませんか？; もしよかったら一緒に飲まない？
80,20,要不要一起吃, もしよかったら一緒に食べませんか？; よかったら一緒に食べない？
81,21,你會日文嗎?（名詞）, 日本語ができますか？; 日本語できる？
82,21,你會打網球嗎?, テニスができますか？; テニスできる？
83,21,你會開車嗎?, 運転ができますか？; 運転できる？
84,21,你會中文嗎?, 中国語ができますか？; 中国語できる？
85,22,這個比較好吃喔, こっちのほうがおいしいですよ。; こっちのほうがおいしいよ。
86,22,這個比較便宜喔, こっちのほうが安いですよ。; こっちのほうが安いよ。
87,22,這個比較可愛喔, こっちのほうがかわいいですよ。; こっちのほうがかわいいよ。
88,22,這個比較方便喔, こっちのうほうが便利ですよ。; こっちのうほうが便利だよ。
89,23,終於做完了, やっと終わりました。; やっと終わった。
90,23,終於到了, やっと着きました。; やっと着いた。
91,23,終於買到了, やっと買えました。; やっと買えた。
92,23,終於能見到面了, やっと会えました。; やっと会えた。
93,24,看起來好好吃喔, おいしそうですね。; おいしそうだね。
94,24,看起來好有趣喔, おもしろそうですね。; おもしろそうだね。
95,24,看起來好難喔, 難しそうですね。; 難しそうだね。
96,24,看起來簡單喔, 簡単そうですね。; 簡単そうだね。
97,25,快結束了, もう少しで終わります。; もう少しで終わるよ。
98,25,快到了, もう少しで着きます。; もう少しで着くよ。
99,25,快開始了, もう少しで始まります。; もう少しで始まるよ。
100,25,快喝完了, もう少しで飲み終わります。; もう少しで飲み終わるよ。
101,26,早點睡覺比較好喔（給別人建議）, 早く寝たほうがいいですよ; 早く寝たほうがいいよ
102,26,你去看醫生比較好喔, 病院へ行った方がいいですよ。; 病院行ったほうがいいよ。
103,26,你帶雨傘去比較好喔, 傘を持って行ったほうがいいですよ。; 傘持って行ったほうがいいよ。
104,26,你不要抽菸比較好喔, タバコを吸わないほうがいいですよ。; タバコ吸わないほうがいいよ。
105,27,我可以拍照嗎? （問對方許可）, 写真をとってもいいですか？; 写真とってもいい？
106,27,我可以進去嗎?, 入ってもいいですか？; 入ってもいい？
107,27,我可以回家嗎?, 帰ってもいいですか？; 帰ってもいい？
108,27,這蛋糕可以吃嗎?, このケーキ食べてもいいですか？; このケーキ食べてもいい？
109,28,絕對不要說喔, 絶対に言わないでくださいね。; 絶対言わないでね。
110,28,絕對不要遲到喔, 絶対に遅れないでくださいね。; 絶対遅れないでね。
111,28,絕對不要忘記喔, 絶対に忘れないでくださいね。; 絶対忘れないでね。
112,28,絕對不要吃哦, 絶対に食べないでくださいね。; 絶対食べないでね。
113,29,差不多該回去了, そろそろ帰らなければなりません。; そろそろ帰らなきゃ。(帰らないと)
114,29,差不多該起床了, そろそろ起きなければなりません。; そろそろ起きなきゃ。
115,29,差不多該準備晚餐了, そろそろ晩ご飯の準備をしなければなりません。; そろそろ晩ご飯の準備をしなきゃ。
116,29,差不多該努力了, そろそろ頑張らなければなりません。; そろそろ頑張らなきゃ。
117,30,你不用急喔, 急がなくてもいいですよ。; 急がなくてもいいよ。
118,30,你不用等我喔, 待たなくてもいいですよ。; 待たなくていいよ。
119,30,你不用勉強喔, 無理しなくていいですよ。; 無理しなくていいよ。
120,30,你不用做哦, しなくていいですよ。; しなくていいよ。
121,31,我喜歡看書（動詞）, 本を読むのが好きです。; 本を読むのが好き。
122,31,我喜歡睡覺, 寝るのが好きです。; 寝るのが好き。
123,31,我喜歡吃東西, 食べるのが好きです。; 食べるのが好き。
124,31,我喜歡喝酒, お酒を飲むのが好きです。; お酒を飲むのが好き。
125,32,沒想到會下雨呢, 雨が降るとは思いませんでした。; 雨が降るとは思わなかったよ。
126,32,沒想到會及格呢, 合格するとは思いませんでした。; 合格するとは思わなかったよ。
127,32,沒想到被罵, 怒られるとは思いませんでした。; 怒られるとは思わなかったよ。
128,32,沒想到他會過來呢, 彼が来るとは思いませんでした。; 彼が来るとは思わなかったよ。
129,33,謝謝你過來, 来てくれてありがとうございます。; 来てくれてありがとう。
130,33,謝謝你幫我, 手伝ってくれてありがとうございます。; 手伝ってくれてありがとう。
131,33,謝謝你告訴我, 教えてくれてありがとうございます。; 教えてくれてありがとう。
132,33,謝謝你帶路, 案内してくれてありがとうございます。; 案内してくれてありがとう。
133,34,我要吃什麼好呢?（問自己）, 何食べようかなあ。
134,34,我要去哪裡好呢?(旅遊), どこ行こうかなあ。
135,34,我要看什麼好呢?(電視),何見ようかなあ。
136,34,我要買什麼好呢(購物),何買おうかなあ。
137,35,你有看過這部電影嗎?(問經驗), この映画を見たことがありますか？; この映画見たことある？
138,35,你有去過日本嗎?, 日本へ行ったことがありますか？; 日本行ったことある？
139,35,你有來過這裡嗎?, ここに来たことがありますか？; ここ来たことある？
140,35,你有見過他嗎?, 彼に会ったことがありますか？; 彼に会ったことある？
141,36,我不知道好不好吃, おいしいかどうかわかりません。; おいしいかどうかわからない。
142,36,我不知道正不正確, 正しいかどうかわかりません。; 正しいかどうかわからない。
143,36,我不知道他會不會來, 彼が来るかどうかわかりません。; 彼が来るかどうかわからない。
144,36,我不知道明天會不會下雨, 明日、雨が降るかどうかわかりません。; 明日、雨が降るかどうかわからない。
145,37,要不要試看看?, やってみたらどうですか？; やってみたら？
146,37,要不要吃看看?, 食べてみたらどうですか？; 食べてみたら？
147,37,要不要喝看看, 飲んでみたらどうですか？; 飲んでみたら？
148,37,要不要去看看, 行ってみたらどうですか？; 行ってみたら？
149,38,我盡量每天散步(努力的習慣), 毎日散歩するようにしています。; 毎日散歩するようにしている。
150,38,我盡量每天吃水果, 毎日果物を食べるようにしています。; 毎日果物を食べるようにしている。
151,38,我盡量不喝酒, お酒を飲まないようにしています。; お酒を飲まないようにしている。
152,38,我盡量不抽菸, タバコを吸わないようにしています。; タバコを吸わないようにしている。
153,39,一定沒問題的, きっと大丈夫ですよ。(絶対～); きっと大丈夫だよ。
154,39,一定會來的, きっと来ますよ。; きっと来るよ。
155,39,一定會成功的, きっと成功しますよ。; きっと成功するよ。
156,39,一定會及格的, きっと合格しますよ。; きっと合格するよ。
157,40,正要睡覺的時候 電話打來了, 寝ようとしたら、電話がかかってきました。; 寝ようとしたら、電話がかかってきた。
158,40,正要出門就下起雨來了, 出かけようとしたら、雨が降り出しました。; 出かけようとしたら、雨が降り出した。
159,40,正要回去就被部長叫了, 帰ろうとしたら、部長に呼ばれました。; 帰ろうとしたら、部長に呼ばれた。
160,40,正要吃飯就朋友來了, ご飯を食べようとしたら、友達が来ました。; ご飯を食べようとしたら、友達が来た。
161,41,早知道就不會來呢(後悔), 来なかったらよかったです。; 来なきゃよかった。
162,41,早知道就不買呢, 買わなかったらよかったです。; 買わなきゃよかった。
163,41,早知道就不說呢, 言わなかったらよかったです。; 言わなきゃよかった。
164,41,早知道就不去呢, 行かなかったらよかったです。; 行かなきゃよかった。
165,42,還沒吃飯, まだ食べていません。; まだ食べてないよ。
166,42,還沒看, まだ見ていません。; まだ見てないよ。
167,42,還沒結束, まだ終わっていません。; まだ終わってないよ。
168,42,還沒跟他講, まだ彼に話していません。; まだ彼に話してないよ。
169,43,我覺得明天會下雨, 明日は雨が降ると思います。; 明日雨、降ると思うよ。
170,43,我覺得他不會來, 彼は来ないと思います。; 彼、来ないと思うよ。
171,43,我覺得這部電影很好看, この映画は面白いと思います。; この映画、面白いと思うよ。
172,43,我覺得小孩子已經睡覺了, 子供はもう寝たと思います。; 子供はもう寝たと思うよ。
173,44,還好趕上, 間に合ってよかったです。; 間に合ってよかったあ。
174,44,還好找到工作, 仕事が見つかってよかったです。; 仕事が見つかってよかったあ。
175,44,還好很順利, うまくいってよかったです。; うまくいってよかったあ。
176,44,還好沒有受傷, 怪我がなくてよかったです。; 怪我がなくてよかったあ。
177,45,我打算不去, 行かないつもりです。; 行かないつもり。
178,45,我打算不參加婚禮, 結婚式に参加しないつもりです。; 結婚式に参加しないつもり。
179,45,我打算去留學, 留学に行くつもりです。; 留学に行くつもり。
180,45,我打算辭職工作, 会社を辞めるつもりです。; 会社を辞めるつもり。
181,46,不小心把房間的鑰匙弄丟了, 部屋のかぎをなくしてしまいました。; 部屋のかぎなくしちゃった。
182,46,不小心把錢包弄丟了, 財布をなくしてしまいました。; 財布なくしちゃった。
183,46,不小心遲到了, 遅刻してしまいました。; 遅刻しちゃった。
184,46,不小心睡過頭了, 寝坊してしまいました。; 寝坊しちゃった。
185,47,希望你過來, （私はあたなに）来てほしいです。; 来てほしいなあ。
186,47,希望你參加, 参加してほしいです。; 参加してほしいなあ。
187,47,希望你帶我去, 連れて行ってほしいです。; 連れて行ってほしいなあ。
188,47,希望你幫我泡咖啡, コーヒーをいれてほしいです。; コーヒーいれてほしいなあ。
189,48,再怎麼便宜也不買, どんなに安くても買いません。; どんなに安くても買わないよ。
190,48,再怎麼辛苦也會努力的, どんなにつらくても頑張ります。; どんなにつらくても頑張るよ。
191,48,再怎麼困難也不會放棄的, どんなに困難でもあきらめません。; どんなに困難でもあきらめないよ。
192,48,再怎麼努力也來不及, どんなに頑張っても間に合いません。; どんなに頑張っても間に合わないよ。
193,49,再也不會去, もう二度と行きません。; もう二度と行かない。
194,49,再也不會做, もう二度としません。; もう二度としない。
195,49,再也不會說, もう二度と言いません。; もう二度と言わない。
196,49,再也不會見他, もう二度と彼に会いません。; もう二度と彼に合わない。
197,50,有可能會下雨, 雨が降るかもしれません。; 雨降るかも。
198,50,有可能會晚到, 遅れるかもしれません。; 遅れるかも。
199,50,有可能換工作, 仕事をかえるかもしれません。; 仕事帰るかも。
200,50,有可能不能去, 行けないかもしれません。; 行けないかも。
